



,,[20]
,[0], 0,0






,[1], 0,0






,[2], 99,99






,[3], 99,99






,[4], 99,99






,[5], 99,99






,[6], 1,2






,[7], 2,5






,[8], 7,7






,[9], 99,99






,[10], 99,99






,[11], 99,99






,[12], 2,7






,[13], 1,5






,[14], 5,9






,[15], 99,99






,[16], 3,6






,[17], 99,99






,[18], 99,99






,[19], 5,5






,[20], 99,99






,[21], 99,99






,[22], 99,99






,[23], 99,99






,[24], 99,99






,[25], 99,99






,[26], 99,99






,[27], 99,99






,[28], 5,6






,[29], 4,4






,[30], 99,99






,[31], 99,99






,[32], 0,0






,[33], 99,99






,[34], 99,99






,[35], 1,1






,[36], 99,99






,[37], 1,1






,[38], 99,99






,[39], 99,99






,[40], 4,6






,[41], 99,99






,[42], 99,99






,[43], 99,99






,[44], 99,99






,[45], 99,99






,[46], 99,99






,[47], 99,99






,[48], 4,9






,[49], 99,99






,[50], 3,7






,[51], 99,99






,[52], 99,99






,[53], 99,99






,[54], 99,99






,[55], 99,99






,[56], 99,99






,[57], 99,99






,[58], 7,7






,[59], 99,99






,[60], 99,99






,[61], 99,99






,[62], 3,5






,[63], 2,6






,[64], 0,0






,[65], 99,99






,[66], 6,6






,[67], 0,1






,[68], 99,99






,[69], 3,5






,[70], 99,99






,[71], 2,3






,[72], 99,99






,[73], 3,4






,[74], 99,99






,[75], 99,99






,[76], 7,10






