



,,[70]
,[0], 99,99






,[1], 99,99






,[2], 0,0






,[3], 0,1






,[4], 99,99






,[5], 1,1






,[6], 0,0






,[7], 99,99






,[8], 99,99






,[9], 99,99






,[10], 0,0






,[11], 0,0






,[12], 1,2






,[13], 1,1






,[14], 99,99






,[15], 99,99






,[16], 99,99






,[17], 0,1






,[18], 1,2






,[19], 1,1






,[20], 1,1






,[21], 0,0






,[22], 1,1






,[23], 0,0






,[24], 99,99






,[25], 0,0






,[26], 99,99






,[27], 0,0






,[28], 1,1






,[29], 1,1






,[30], 0,1






,[31], 1,2






,[32], 99,99






,[33], 0,0






,[34], 1,2






,[35], 99,99






,[36], 0,1






,[37], 0,1






,[38], 0,0






,[39], 99,99






,[40], 0,0






,[41], 0,0






,[42], 99,99






,[43], 0,0






,[44], 1,1






,[45], 0,0






,[46], 0,0






,[47], 0,0






,[48], 0,1






,[49], 99,99






,[50], 99,99






,[51], 99,99






,[52], 1,1






,[53], 99,99






,[54], 1,2






,[55], 0,1






,[56], 0,1






,[57], 0,0






,[58], 0,0






,[59], 1,2






,[60], 0,1






,[61], 0,0






,[62], 0,0






,[63], 99,99






,[64], 99,99






,[65], 0,1






,[66], 99,99






,[67], 1,2






,[68], 0,1






,[69], 0,1






,[70], 0,1






,[71], 1,1






,[72], 99,99






,[73], 1,2






,[74], 2,2






,[75], 99,99






,[76], 99,99






,[77], 99,99






,[78], 99,99






,[79], 99,99






,[80], 0,1






,[81], 0,0






,[82], 0,1






,[83], 0,0






,[84], 1,1






,[85], 1,1






,[86], 0,2






,[87], 0,0






,[88], 0,0






,[89], 99,99






,[90], 0,1






,[91], 0,0






,[92], 0,0






,[93], 1,1






,[94], 0,0






,[95], 1,2






,[96], 1,1






,[97], 0,1






,[98], 0,1






,[99], 0,0






,[100], 1,1






,[101], 1,3






,[102], 0,2






,[103], 99,99






,[104], 1,2






,[105], 0,0






,[106], 0,1






,[107], 0,0






,[108], 1,1






,[109], 0,2






,[110], 99,99






,[111], 0,0






,[112], 1,1






,[113], 1,1






,[114], 0,1






,[115], 1,1






,[116], 0,0






,[117], 1,2






,[118], 99,99






,[119], 1,2






,[120], 0,1






,[121], 99,99






,[122], 0,1






,[123], 0,0






,[124], 0,1






,[125], 1,1






,[126], 0,0






,[127], 1,1






,[128], 99,99






,[129], 0,1






,[130], 0,0






,[131], 99,99






,[132], 99,99






,[133], 0,0






,[134], 0,0






,[135], 0,1






,[136], 0,0






,[137], 0,1






,[138], 1,1






,[139], 0,1






,[140], 99,99






,[141], 99,99






,[142], 99,99






,[143], 99,99






,[144], 1,2






,[145], 0,0






,[146], 99,99






,[147], 0,0






,[148], 0,1






,[149], 99,99






,[150], 99,99






,[151], 0,1






,[152], 0,0






,[153], 99,99






,[154], 0,1






,[155], 99,99






,[156], 99,99






,[157], 0,1






,[158], 0,0






,[159], 99,99






,[160], 99,99






,[161], 99,99






,[162], 1,2






,[163], 99,99






,[164], 99,99






,[165], 99,99






,[166], 99,99






,[167], 0,1






,[168], 99,99






,[169], 0,0






,[170], 0,1






,[171], 0,0






,[172], 99,99






,[173], 1,2






,[174], 99,99






,[175], 99,99






,[176], 16,20






,[177], 0,1






,[178], 0,1






,[179], 0,0






,[180], 1,1






,[181], 99,99






,[182], 0,1






,[183], 99,99






,[184], 99,99






,[185], 0,1






,[186], 0,0






,[187], 0,1






,[188], 99,99






,[189], 1,1






,[190], 99,99






,[191], 0,0






,[192], 1,1






,[193], 99,99






,[194], 0,1






,[195], 1,2






,[196], 99,99






,[197], 0,0






,[198], 99,99






,[199], 99,99






,[200], 99,99






,[201], 99,99






,[202], 1,2






,[203], 99,99






,[204], 15,25






,[205], 0,0






,[206], 0,0






,[207], 99,99






,[208], 99,99






,[209], 99,99






,[210], 0,0






,[211], 99,99






,[212], 99,99






