 0,  9, 62, 32, 32,  7, 39, 18, 51, 53, 48, 44, 52, 52, 61, 52, 53, 53, 51, 58, 32, 61, 21, 53, 53, 24, 53, 53, 53, 52, 53, 10, 
35, 51, 44, 45, 22, 47, 60, 10, 61, 45, 31, 47,  7,  6, 31, 32, 10, 37, 53, 48,  9,  5, 44,  3, 37, 63, 53, 10, 42, 58,  4, 58, 
 0, 17, 51, 53, 11, 38, 52, 34, 61, 34, 27, 20, 20, 45, 24, 10, 11, 13, 23, 44, 45, 35, 17, 37, 51, 30, 55, 10, 57,  4, 56,  1, 
16, 48,  6, 57, 20, 26, 13,  9, 34, 55, 51,  5, 53, 20, 15, 53, 63, 15, 45, 57, 47,  4, 32, 63, 55, 34,  5, 57, 63, 59, 30, 23, 
59, 38, 57, 45, 22, 17, 19, 34, 51, 62,  5, 45, 63, 57, 27,  0, 49, 36, 19, 39, 35,  0, 33,  5, 32,  5, 28, 33, 53, 55,  7, 52, 
27, 61, 31,  5, 32, 48, 21, 34, 34, 29, 27, 59,  9, 54, 59, 63,  1, 56,  6,  7, 37, 37, 62, 37, 22, 51, 22,  5, 46, 52, 35, 50, 
38, 17,  9, 19, 38, 57, 61, 39, 51, 53, 22, 56, 22, 59, 11, 27, 26, 35, 36,  7, 42, 40, 42,  2, 51, 21, 36, 51, 45, 31, 18, 18, 
28, 31, 13, 23, 62, 59, 22, 34, 29, 51, 59, 11, 35, 49, 18, 60, 19, 60,  9, 15, 15, 27,  2,  0, 27, 31, 16, 59,  9, 39, 56, 63, 
 7, 27, 10, 49, 20, 34, 21,  0, 39, 22, 54, 22,  9, 27, 63, 19, 56, 48, 44, 41, 55, 45, 42,  2, 22,  0, 17,  0,  6, 21, 33,  3, 
 0,  0, 21,  3, 32, 34, 39, 15, 25, 34, 60, 56, 35, 36, 24, 59, 21, 19, 60,  9, 36, 12, 50,  2, 45, 30, 61, 20, 61,  7, 31, 56, 
53, 53, 10, 62,  1, 20,  0, 38, 24, 36, 61, 27, 27,  0, 61, 56, 56, 48, 42, 46, 54, 15, 12, 55, 36, 61, 11, 27, 59,  8,  5, 58, 
 0, 59,  4, 15, 35, 38, 14, 43,  2, 31, 21, 21, 54, 61, 22, 27, 45, 49, 35, 14, 49, 43, 12, 54, 29, 22, 21, 24, 56, 48, 40, 34, 
60,  4, 35, 47, 58,  0, 14, 43, 53, 56,  0, 27, 24, 23, 23, 35, 21, 35, 26, 36, 14, 28, 14, 51, 32, 39, 15, 49,  1, 22, 31, 51, 
59, 61, 16, 31, 57, 24, 14,  8, 24, 56, 61, 51,  0,  4,  0, 56, 63, 46, 49, 45, 28, 48, 29, 49, 52, 35,  0, 61,  1,  9,  0,  6, 
33, 62, 24, 52, 39, 46, 12, 27, 58,  0, 33, 36,  5, 19, 20, 59,  1,  0, 51, 14, 28, 54, 29, 53, 37, 53, 46, 46, 30, 31, 33, 63, 
58,  1, 26,  5, 10, 51, 12, 43, 13, 30, 51,  3, 45, 50, 59, 56, 56, 22, 28, 29, 37, 27, 20, 53, 59,  5,  1, 51, 14, 14, 24, 63, 
 9, 24, 21, 31, 29, 25, 12, 43, 55,  0, 22, 11, 16,  9, 26, 19, 59, 27, 52, 61, 49,  9, 17, 22, 38, 17, 63, 20, 54, 31,  9, 27, 
 1, 16, 59, 19, 58, 54,  2, 43, 26, 37, 49,  0,  0, 49, 28, 49, 26, 51, 22, 46, 38, 26, 34, 38,  6, 53, 58, 53, 52, 36, 49, 22, 
24, 27, 20, 19, 58, 25,  7, 49, 63, 17, 24, 32, 35, 48,  6, 55, 56, 32,  5, 57,  0, 34, 63, 22, 44, 58, 53, 53, 59,  6, 24, 35, 
59,  0, 25, 22, 47, 42,  6, 61,  2, 63, 53, 36, 61, 16, 38, 55,  1, 52, 53, 56,  0, 22, 19, 16, 53, 58, 32, 51, 53, 31, 45,  3, 
48, 14, 48, 46, 61, 19, 44,  8,  2, 31, 63,  5,  1, 35, 38,  8, 11, 29,  0, 56,  0, 24,  7, 22, 16, 62, 11, 48, 38, 27, 15, 22, 
 2, 60, 28, 36, 26, 54,  2, 27,  5, 63, 53,  0, 61, 17, 21, 26, 59, 48, 26, 35,  0, 51, 51, 56, 13, 16, 52, 56, 17, 53, 53, 34, 
46, 12, 25,  2, 49, 46, 41, 61, 34, 63,  9,  0, 24,  0,  6, 37, 10, 44, 51,  0, 10, 22, 60, 17, 27, 35, 39,  5, 19, 36,  9, 19, 
25, 46, 12, 41, 28, 25, 55, 22,  3, 55, 18, 48, 62, 47, 53, 35, 35, 49, 22, 22, 21, 22,  1, 11,  3, 13, 34, 52, 47, 22, 51, 61, 
46, 14, 43, 41, 41, 12, 60, 39, 29,  3, 18, 50, 30,  4, 21,  5, 21, 31, 37, 27, 45, 57, 22, 38, 38,  3, 34, 24, 16, 17, 34, 19, 
42, 43, 29, 46, 42,  2, 12, 16,  8,  6, 59, 23, 10, 10, 54,  3, 31, 44, 23, 45, 49, 19, 48, 26, 33, 27, 34, 29, 61, 10, 38, 48, 
43, 29, 43, 43, 46, 41, 12, 12,  1,  1, 19, 26, 48, 60, 31, 31, 10, 10,  9, 21, 49, 19, 22, 24,  9, 13, 34, 29, 53,  6, 19,  3, 
