



,,[50]
,[0], 8,15






,[1], 7,18






,[2], 8,18






,[3], 9,17






,[4], 5,15






,[5], 7,18






,[6], 4,15






,[7], 2,15






,[8], 4,12






,[9], 8,15






,[10], 10,17






,[11], 3,14






,[12], 3,20






,[13], 9,15






,[14], 5,15






,[15], 7,17






,[16], 9,16






,[17], 8,17






,[18], 15,18






,[19], 7,16






,[20], 8,12






,[21], 4,12






,[22], 2,14






,[23], 8,15






,[24], 2,13






,[25], 99,99






,[26], 3,15






,[27], 4,13






,[28], 3,18






,[29], 2,13






,[30], 5,14






,[31], 6,17






,[32], 3,16






,[33], 5,17






,[34], 7,12






,[35], 4,9






,[36], 8,14






,[37], 7,18






,[38], 5,13






,[39], 10,18






,[40], 99,99






,[41], 3,12






,[42], 6,14






,[43], 10,15






,[44], 9,12






,[45], 10,14






,[46], 8,11






,[47], 11,14






,[48], 99,99






,[49], 9,13






,[50], 13,16






,[51], 12,18






,[52], 11,14






,[53], 99,99






,[54], 11,15






,[55], 5,9






,[56], 6,14






,[57], 12,18






,[58], 6,15






,[59], 11,19






,[60], 9,19






,[61], 9,13






,[62], 99,99






,[63], 6,13






,[64], 5,14






,[65], 10,20






,[66], 5,15






,[67], 6,14






,[68], 9,16






,[69], 4,15






,[70], 7,16






,[71], 5,11






,[72], 5,8






,[73], 7,8






,[74], 99,99






,[75], 99,99






,[76], 99,99






,[77], 13,13






,[78], 13,17






,[79], 99,99






,[80], 15,17






,[81], 99,99






,[82], 99,99






,[83], 99,99






,[84], 99,99






,[85], 99,99






,[86], 8,10






,[87], 2,5






,[88], 6,8






,[89], 99,99






,[90], 99,99






,[91], 8,13






,[92], 99,99






,[93], 11,17






,[94], 8,13






,[95], 11,13






,[96], 9,17






,[97], 8,15






,[98], 7,15






,[99], 12,16






,[100], 5,13






,[101], 11,12






,[102], 6,14






,[103], 4,10






,[104], 4,11






,[105], 99,99






,[106], 99,99






,[107], 12,16






,[108], 12,17






,[109], 99,99






,[110], 99,99






,[111], 99,99






,[112], 12,13






,[113], 99,99






,[114], 99,99






,[115], 99,99






,[116], 19,21






,[117], 99,99






,[118], 12,16






,[119], 11,11






,[120], 99,99






,[121], 5,11






,[122], 5,13






,[123], 7,15






,[124], 7,13






,[125], 99,99






,[126], 10,17






,[127], 7,18






,[128], 5,13






,[129], 3,19






,[130], 10,14






,[131], 99,99






,[132], 7,16






,[133], 3,9






,[134], 8,15






,[135], 5,9






,[136], 99,99






,[137], 99,99






,[138], 99,99






,[139], 99,99






,[140], 99,99






,[141], 7,14






,[142], 99,99






,[143], 9,12






,[144], 6,11






,[145], 99,99






,[146], 8,21






,[147], 99,99






,[148], 99,99






,[149], 18,20






,[150], 6,17






,[151], 99,99






,[152], 5,12






,[153], 6,13






,[154], 9,11






,[155], 5,11






,[156], 9,11






,[157], 99,99






,[158], 4,19






,[159], 11,14






,[160], 5,15






,[161], 4,10






,[162], 9,18






,[163], 99,99






,[164], 9,14






,[165], 9,13






,[166], 4,13






,[167], 4,10






,[168], 8,9






,[169], 11,17






,[170], 99,99






,[171], 99,99






,[172], 12,15






,[173], 5,21






,[174], 99,99






,[175], 6,17






,[176], 3,8






,[177], 6,15






,[178], 10,14






,[179], 7,14






,[180], 10,18






,[181], 11,16






,[182], 11,14






,[183], 11,15






,[184], 5,15






