



,,[30]
,[77], 0,0






,[78], 0,0






,[79], 0,0






,[80], 0,0






,[81], 0,0






,[82], 0,0






,[83], 0,0






,[84], 0,0






,[85], 0,0






,[86], 0,0






,[87], 0,0






,[88], 0,0






,[89], 0,0






,[90], 0,0






,[91], 0,0






,[92], 0,0






,[93], 0,0






,[94], 0,0






,[95], 0,0






,[96], 0,0






,[97], 0,0






,[98], 0,0






,[99], 0,0






,[100], 0,0






,[101], 0,0






,[102], 99,99






,[103], 99,99






,[104], 0,0






,[105], 99,99






,[106], 0,0






,[107], 0,0






,[108], 0,0






,[109], 0,0






,[110], 0,0






,[111], 0,0






,[112], 0,0






,[113], 0,0






,[114], 0,0






,[115], 0,0






,[116], 0,0






,[117], 99,99






,[118], 99,99






,[119], 0,0






,[120], 0,0






,[121], 0,0






,[122], 0,0






,[123], 0,0






,[124], 99,99






,[125], 99,99






,[126], 0,0






,[127], 0,0






,[128], 0,0






,[129], 0,0






,[130], 0,0






,[131], 0,0






,[132], 0,0






,[133], 0,0






,[134], 0,0






,[135], 99,99






,[136], 0,0






,[137], 0,0






,[138], 0,0






,[139], 99,99






,[140], 99,99






,[141], 99,99






,[142], 99,99






,[143], 99,99






,[144], 0,0






,[145], 99,99






,[146], 0,0






,[147], 0,0






,[148], 0,0






,[149], 0,0






,[150], 99,99






,[151], 0,0






,[152], 0,0






,[153], 0,0






,[154], 0,0






,[155], 0,0






,[156], 0,0






,[157], 0,0






,[158], 0,0






,[159], 0,0






,[160], 0,0






,[161], 0,0






,[162], 0,0






,[163], 99,99






,[164], 0,0






,[165], 0,0






,[166], 0,0






,[167], 0,0






,[168], 99,99






,[169], 0,0






,[170], 0,0






,[171], 0,0






,[172], 99,99






,[173], 99,99






,[174], 0,0






,[175], 99,99






,[176], 99,99






,[177], 0,0






,[178], 0,0






,[179], 0,0






,[180], 0,0






,[181], 0,0






,[182], 99,99






,[183], 0,0






,[184], 99,99






,[185], 99,99






,[186], 0,0






,[187], 0,0






,[188], 0,0






,[189], 0,0






,[190], 0,0






,[191], 0,0






,[192], 0,0






,[193], 0,0






,[194], 0,0






,[195], 99,99






,[196], 99,99






,[197], 0,0






,[198], 0,0






,[199], 0,0






,[200], 0,0






,[201], 0,0






,[202], 0,0






,[203], 0,0






,[204], 99,99






,[205], 0,0






,[206], 99,99






,[207], 99,99






,[208], 99,99






,[209], 99,99






,[210], 0,0






,[211], 0,0






,[212], 0,0






,[213], 0,0






,[214], 99,99






,[215], 0,0






,[216], 0,0






,[217], 0,0






,[218], 0,0






,[219], 0,0






,[220], 99,99






,[221], 0,0






,[222], 0,0






,[223], 99,99






,[224], 0,0






,[225], 0,0






,[226], 0,0






,[227], 0,0






,[228], 99,99






,[229], 0,0






,[230], 0,0






,[231], 0,0






,[232], 0,0






,[233], 0,0






,[234], 99,99






,[235], 99,99






,[236], 99,99






,[237], 99,99






,[238], 99,99






,[239], 99,99






,[240], 99,99






,[241], 99,99






,[242], 99,99






,[243], 99,99






,[244], 2,5






,[245], 0,0






,[246], 0,0






,[247], 99,99






,[248], 0,0






,[249], 0,0






,[250], 0,0






,[251], 0,0






,[252], 0,0






,[253], 0,0






,[254], 99,99






,[255], 0,0






,[256], 0,0






,[257], 0,0






,[258], 0,0






,[259], 0,0






,[260], 99,99






,[261], 0,0






,[262], 0,0






,[263], 0,0






,[264], 99,99






,[265], 99,99






,[266], 99,99






,[267], 99,99






,[268], 99,99






,[269], 99,99






,[270], 99,99






,[271], 99,99






,[272], 99,99






,[273], 99,99






,[274], 99,99






,[275], 99,99






,[276], 99,99






,[277], 99,99






,[278], 0,0






,[279], 99,99






,[280], 0,0






,[281], 0,0






,[282], 0,0






,[283], 0,0






,[284], 0,0






,[285], 0,0






,[286], 0,0






,[287], 0,0






,[288], 0,0






,[289], 0,0






,[290], 0,0






,[291], 0,0






,[292], 0,0






,[293], 0,0






,[294], 0,0






,[295], 99,99






,[296], 0,0






,[297], 0,0






,[298], 0,0






,[299], 0,1






,[300], 99,99






,[301], 99,99






,[302], 99,99






,[303], 99,99






,[304], 99,99






,[305], 99,99






,[306], 99,99






,[307], 99,99






,[308], 99,99






,[309], 99,99






,[310], 0,0






,[311], 0,0






,[312], 99,99






,[313], 0,0






,[314], 0,0






,[315], 0,0






,[316], 0,0






,[317], 0,0






,[318], 0,0






,[319], 99,99






,[320], 0,0






,[321], 0,0






,[322], 0,0






,[323], 0,0






,[324], 0,0






,[325], 0,0






,[326], 99,99






,[327], 1,2






,[328], 0,0






,[329], 0,0






,[330], 99,99






,[331], 99,99






,[332], 99,99






,[333], 99,99






,[334], 0,0






,[335], 99,99






,[336], 99,99






,[337], 99,99






,[338], 99,99






,[339], 99,99






,[340], 0,0






,[341], 0,0






,[342], 0,0






,[343], 99,99






,[344], 99,99






,[345], 0,0






,[346], 0,0






,[347], 0,0






,[348], 0,0






,[349], 0,0






,[350], 0,0






,[351], 99,99






,[352], 0,0






,[353], 0,0






,[354], 0,0






,[355], 0,0






,[356], 1,3






,[357], 99,99






,[358], 0,0






,[359], 0,0






,[360], 0,0






,[361], 0,0






,[362], 0,0






,[363], 0,0






,[364], 99,99






,[365], 99,99






,[366], 99,99






,[367], 99,99






,[368], 99,99






,[369], 99,99






,[370], 99,99






,[371], 99,99






,[372], 0,0






,[373], 0,0






,[374], 0,0






,[375], 0,0






,[376], 0,0






,[377], 0,0






,[378], 0,0






,[379], 0,0






,[380], 0,0






,[381], 0,0






,[382], 0,0






,[383], 99,99






,[384], 0,0






,[385], 0,0






,[386], 0,0






,[387], 0,0






,[388], 99,99






,[389], 99,99






,[390], 99,99






,[391], 0,0






,[392], 0,0






,[393], 0,0






,[394], 0,0






,[395], 0,0






,[396], 99,99






,[397], 99,99






,[398], 1,11






,[399], 99,99






,[400], 99,99






,[401], 99,99






,[402], 99,99






,[403], 99,99






,[404], 0,0






,[405], 0,0






,[406], 0,0






,[407], 0,0






,[408], 0,0






,[409], 0,0






,[410], 0,0






,[411], 0,0






,[412], 0,0






,[413], 99,99






,[414], 0,0






,[415], 0,0






,[416], 0,0






,[417], 0,0






,[418], 0,0






,[419], 99,99






,[420], 99,99






,[421], 0,0






,[422], 99,99






,[423], 99,99






,[424], 0,0






,[425], 0,0






,[426], 0,0






,[427], 99,99






,[428], 99,99






,[429], 99,99






,[430], 0,0






,[431], 2,2






,[432], 99,99






,[433], 99,99






,[434], 99,99






,[435], 99,99






,[436], 0,0






,[437], 0,0






,[438], 0,0






,[439], 0,0






,[440], 99,99






,[441], 99,99






,[442], 99,99






,[443], 99,99






,[444], 0,0






,[445], 0,0






,[446], 0,0






,[447], 0,0






,[448], 0,0






,[449], 0,0






,[450], 0,0






,[451], 0,0






,[452], 99,99






,[453], 99,99






,[454], 99,99






,[455], 0,0






,[456], 0,0






,[457], 0,0






,[458], 99,99






,[459], 99,99






,[460], 2,7






,[461], 0,0






,[462], 0,0






,[463], 99,99






,[464], 99,99






,[465], 99,99






,[466], 99,99






,[467], 99,99






,[468], 0,0






,[469], 0,0






,[470], 0,0






,[471], 1,2






,[472], 99,99






,[473], 99,99






,[474], 0,0






,[475], 0,0






,[476], 0,0






,[477], 0,0






,[478], 0,0






,[479], 0,0






,[480], 0,0






,[481], 0,0






,[482], 0,0






,[483], 0,0






,[484], 0,0






,[485], 99,99






,[486], 0,0






,[487], 0,0






,[488], 99,99






,[489], 0,0






,[490], 99,99






,[491], 99,99






,[492], 2,2






,[493], 0,0






,[494], 99,99






,[495], 99,99






,[496], 99,99






,[497], 99,99






,[498], 99,99






,[499], 0,0






,[500], 0,0






,[501], 0,0






,[502], 0,0






,[503], 99,99






,[504], 1,1






,[505], 99,99






,[506], 0,0






,[507], 0,0






,[508], 0,0






,[509], 0,0






,[510], 0,0






,[511], 99,99






,[512], 0,0






,[513], 0,0






,[514], 0,0






,[515], 0,0






,[516], 99,99






,[517], 99,99






,[518], 0,0






,[519], 0,0






,[520], 99,99






,[521], 0,0






,[522], 3,3






,[523], 2,2






,[524], 1,3






,[525], 99,99






,[526], 99,99






,[527], 99,99






,[528], 99,99






,[529], 99,99






,[530], 2,11






,[531], 99,99






,[532], 0,0






,[533], 0,0






,[534], 0,0






,[535], 99,99






,[536], 1,1






,[537], 99,99






,[538], 0,0






,[539], 99,99






,[540], 99,99






,[541], 0,0






,[542], 0,0






,[543], 0,0






,[544], 0,0






,[545], 0,0






,[546], 0,0






,[547], 0,0






,[548], 0,0






,[549], 99,99






,[550], 0,0






,[551], 99,99






,[552], 99,99






,[553], 0,0






,[554], 99,99






,[555], 1,1






,[556], 0,0






,[557], 99,99






,[558], 0,0






,[559], 99,99






,[560], 99,99






,[561], 99,99






,[562], 99,99






,[563], 99,99






,[564], 2,3






,[565], 99,99






,[566], 99,99






,[567], 2,4






,[568], 0,1






,[569], 99,99






,[570], 0,0






,[571], 99,99






,[572], 2,2






,[573], 0,0






,[574], 99,99






,[575], 0,0






,[576], 99,99






,[577], 99,99






,[578], 3,5






,[579], 99,99






,[580], 99,99






,[581], 0,0






,[582], 0,0






,[583], 0,0






,[584], 0,0






,[585], 0,0






,[586], 0,0






,[587], 0,0






,[588], 0,0






,[589], 99,99






,[590], 99,99






,[591], 99,99






,[592], 99,99






,[593], 99,99






,[594], 99,99






,[595], 99,99






,[596], 99,99






,[597], 2,3






,[598], 4,5






,[599], 99,99






,[600], 99,99






,[601], 99,99






,[602], 0,0






,[603], 1,1






,[604], 99,99






,[605], 0,0






,[606], 0,0






,[607], 0,0






,[608], 3,8






,[609], 99,99






,[610], 99,99






,[611], 99,99






,[612], 99,99






,[613], 0,0






,[614], 0,0






,[615], 0,0






,[616], 0,0






,[617], 0,0






,[618], 99,99






,[619], 99,99






,[620], 0,0






,[621], 99,99






,[622], 99,99






,[623], 99,99






,[624], 99,99






,[625], 99,99






,[626], 99,99






,[627], 99,99






,[628], 2,12






,[629], 99,99






,[630], 99,99






,[631], 99,99






,[632], 99,99






,[633], 99,99






,[634], 99,99






,[635], 99,99






,[636], 99,99






,[637], 99,99






,[638], 99,99






,[639], 99,99






,[640], 99,99






,[641], 99,99






,[642], 99,99






,[643], 99,99






,[644], 99,99






,[645], 0,0






,[646], 99,99






,[647], 99,99






,[648], 0,0






,[649], 0,0






,[650], 0,0






,[651], 99,99






,[652], 99,99






,[653], 99,99






,[654], 99,99






,[655], 99,99






,[656], 99,99






,[657], 99,99






,[658], 99,99






,[659], 99,99






,[660], 7,8






,[661], 99,99






,[662], 99,99






,[663], 99,99






,[664], 99,99






,[665], 99,99






,[666], 99,99






,[667], 99,99






,[668], 99,99






,[669], 99,99






,[670], 99,99






,[671], 4,4






,[672], 99,99






,[673], 99,99






,[674], 99,99






,[675], 99,99






,[676], 0,0






,[677], 0,0






,[678], 99,99






,[679], 99,99






,[680], 0,0






,[681], 0,0






,[682], 0,0






,[683], 99,99






,[684], 99,99






,[685], 99,99






,[686], 99,99






,[687], 99,99






,[688], 99,99






,[689], 99,99






,[690], 2,13






,[691], 99,99






,[692], 99,99






,[693], 99,99






,[694], 99,99






,[695], 99,99






,[696], 99,99






,[697], 99,99






,[698], 99,99






,[699], 99,99






,[700], 99,99






,[701], 99,99






,[702], 99,99






,[703], 99,99






,[704], 99,99






,[705], 0,1






,[706], 99,99






,[707], 99,99






,[708], 0,0






,[709], 0,0






,[710], 99,99






,[711], 0,0






,[712], 0,0






,[713], 0,0






,[714], 99,99






,[715], 99,99






,[716], 99,99






,[717], 99,99






,[718], 4,14






,[719], 3,7






,[720], 99,99






,[721], 1,4






,[722], 1,8






,[723], 1,7






,[724], 99,99






,[725], 99,99






,[726], 99,99






,[727], 99,99






,[728], 99,99






,[729], 99,99






,[730], 99,99






,[731], 99,99






,[732], 99,99






,[733], 99,99






,[734], 99,99






,[735], 2,2






,[736], 1,1






,[737], 99,99






,[738], 99,99






,[739], 99,99






,[740], 0,0






,[741], 0,0






,[742], 0,0






,[743], 99,99






,[744], 0,0






,[745], 0,1






,[746], 0,0






,[747], 99,99






,[748], 99,99






,[749], 99,99






,[750], 99,99






,[751], 99,99






,[752], 99,99






,[753], 99,99






,[754], 0,0






,[755], 1,12






,[756], 2,13






,[757], 1,8






,[758], 4,8






,[759], 99,99






,[760], 1,1






,[761], 99,99






,[762], 99,99






,[763], 99,99






,[764], 1,1






,[765], 99,99






,[766], 99,99






,[767], 1,1






,[768], 99,99






,[769], 99,99






,[770], 99,99






,[771], 99,99






,[772], 99,99






,[773], 0,0






,[774], 0,0






,[775], 0,0






,[776], 0,0






,[777], 0,1






,[778], 0,0






,[779], 99,99






,[780], 99,99






,[781], 99,99






,[782], 99,99






,[783], 99,99






,[784], 99,99






,[785], 1,1






,[786], 1,1






,[787], 99,99






,[788], 1,10






,[789], 99,99






,[790], 99,99






,[791], 1,1






,[792], 1,1






,[793], 99,99






,[794], 99,99






,[795], 0,0






,[796], 2,2






,[797], 99,99






,[798], 99,99






,[799], 99,99






,[800], 0,1






,[801], 1,1






,[802], 1,1






,[803], 1,2






,[804], 99,99






,[805], 99,99






,[806], 0,0






,[807], 0,0






,[808], 0,0






,[809], 1,1






,[810], 0,0






,[811], 99,99






,[812], 99,99






,[813], 99,99






,[814], 99,99






,[815], 99,99






,[816], 99,99






,[817], 99,99






,[818], 99,99






,[819], 99,99






,[820], 99,99






,[821], 1,11






,[822], 99,99






,[823], 99,99






,[824], 99,99






,[825], 3,3






,[826], 0,0






,[827], 3,3






,[828], 99,99






,[829], 0,0






,[830], 99,99






,[831], 1,2






,[832], 1,1






,[833], 99,99






,[834], 3,3






,[835], 2,2






,[836], 99,99






,[837], 99,99






,[838], 1,1






,[839], 0,0






,[840], 1,1






,[841], 99,99






,[842], 99,99






,[843], 99,99






,[844], 99,99






,[845], 99,99






,[846], 99,99






,[847], 99,99






,[848], 99,99






,[849], 1,2






,[850], 3,3






,[851], 99,99






,[852], 0,0






,[853], 1,3






,[854], 99,99






,[855], 3,7






,[856], 0,0






,[857], 99,99






,[858], 1,1






,[859], 99,99






,[860], 99,99






,[861], 1,5






,[862], 99,99






,[863], 99,99






,[864], 99,99






,[865], 1,1






,[866], 1,1






,[867], 2,2






,[868], 99,99






,[869], 99,99






,[870], 99,99






,[871], 99,99






,[872], 0,0






,[873], 99,99






,[874], 99,99






,[875], 99,99






,[876], 99,99






,[877], 99,99






,[878], 99,99






,[879], 99,99






,[880], 99,99






,[881], 2,4






,[882], 1,3






,[883], 0,0






,[884], 2,4






,[885], 1,4






,[886], 1,7






,[887], 99,99






,[888], 99,99






,[889], 3,4






,[890], 1,4






,[891], 1,3






,[892], 99,99






,[893], 2,3






,[894], 99,99






,[895], 99,99






,[896], 1,5






,[897], 2,4






,[898], 99,99






,[899], 99,99






,[900], 99,99






,[901], 99,99






,[902], 99,99






,[903], 99,99






,[904], 99,99






,[905], 99,99






,[906], 99,99






,[907], 99,99






,[908], 99,99






,[909], 99,99






,[910], 99,99






,[911], 1,4






,[912], 1,4






,[913], 99,99






,[914], 1,4






,[915], 3,4






,[916], 1,3






,[917], 2,6






,[918], 1,3






,[919], 99,99






,[920], 99,99






,[921], 1,3






,[922], 99,99






,[923], 99,99






,[924], 99,99






,[925], 99,99






,[926], 2,2






,[927], 99,99






,[928], 99,99






,[929], 1,5






,[930], 99,99






,[931], 1,2






