
basis : 39, 48, 59


 [0]  dct:178.828125  a:179.031250  b:179.312500  c:177.250000   (3)    [39]:-0.713445, [48]:1.284331, [59]:-0.344200
 [1]  dct:81.453125  a:81.453125  b:81.453125  c:81.453125   (0)    [39]:0.069148, [48]:0.214234, [59]:0.089594
 [2]  dct:103.531250  a:103.531250  b:103.531250  c:102.218750   (3)    [39]:-0.111969, [48]:0.694757, [59]:-0.230405
 [3]  dct:108.593750  a:108.250000  b:108.593750  c:106.531250   (3)    [39]:-0.533033, [48]:0.738155, [59]:-0.385211
 [4]  dct:99.984375  a:98.671875  b:99.984375  c:97.015625   (3)    [39]:-0.291689, [48]:0.494038, [59]:-0.655708
 [5]  dct:92.656250  a:92.656250  b:92.656250  c:87.109375   (3)    [39]:-0.117449, [48]:0.995724, [59]:-0.368302
 [6]  dct:111.296875  a:111.250000  b:111.296875  c:102.640625   (3)    [39]:-0.225674, [48]:0.777371, [59]:-0.662397
 [7]  dct:88.906250  a:88.906250  b:88.906250  c:79.234375   (3)    [39]:0.048691, [48]:0.426685, [59]:-0.778807
 [8]  dct:66.281250  a:66.281250  b:66.281250  c:71.000000   (0)    [39]:-0.136371, [48]:0.205915, [59]:-0.782431
 [9]  dct:92.093750  a:92.109375  b:92.093750  c:92.250000   (0)    [39]:-0.228491, [48]:0.631387, [59]:-0.767354
 [10]  dct:75.890625  a:75.890625  b:75.890625  c:70.671875   (3)    [39]:-0.077917, [48]:0.591700, [59]:-0.576224
 [11]  dct:71.578125  a:71.578125  b:71.578125  c:73.234375   (0)    [39]:0.147256, [48]:0.381021, [59]:-0.689555
 [12]  dct:62.718750  a:62.718750  b:62.718750  c:62.015625   (3)    [39]:-0.087807, [48]:0.418725, [59]:-0.797588
 [13]  dct:69.062500  a:68.984375  b:69.062500  c:60.421875   (3)    [39]:0.235230, [48]:0.795503, [59]:-1.093330
 [14]  dct:66.625000  a:66.625000  b:66.625000  c:73.968750   (0)    [39]:0.134329, [48]:0.922337, [59]:-0.944720
 [15]  dct:76.656250  a:75.328125  b:76.656250  c:71.937500   (3)    [39]:0.458225, [48]:0.823975, [59]:-0.955273
 [16]  dct:64.921875  a:62.859375  b:64.921875  c:96.937500   (1)    [39]:0.737961, [48]:0.336505, [59]:-1.399232
 [17]  dct:54.359375  a:51.546875  b:54.359375  c:47.343750   (3)    [39]:0.588092, [48]:0.403633, [59]:-0.599447
 [18]  dct:96.500000  a:96.500000  b:96.500000  c:92.484375   (3)    [39]:0.208424, [48]:0.054708, [59]:-0.733664
 [19]  dct:80.703125  a:80.531250  b:80.703125  c:83.562500   (1)    [39]:0.225617, [48]:-0.007508, [59]:-0.870593
 [20]  dct:75.734375  a:75.750000  b:75.734375  c:130.328125   (0)    [39]:0.264471, [48]:0.105746, [59]:-1.809391
 [21]  dct:98.890625  a:98.890625  b:99.375000  c:95.718750   (3)    [39]:0.781254, [48]:1.276011, [59]:-0.630556
 [22]  dct:70.984375  a:66.921875  b:70.984375  c:72.250000   (1)    [39]:0.904119, [48]:0.372027, [59]:-1.020881
 [23]  dct:38.781250  a:26.890625  b:38.781250  c:30.531250   (1)    [39]:1.719519, [48]:0.859713, [59]:-0.504377
