



,,[20]
,[0], 1,4






,[1], 1,1






,[2], 1,3






,[3], 1,4






,[4], 1,4






,[5], 1,4






,[6], 1,4






,[7], 1,4






,[8], 1,3






,[9], 1,4






,[10], 1,3






,[11], 1,3






,[12], 1,3






,[13], 1,2






,[14], 1,4






,[15], 1,3






,[16], 99,99






,[17], 99,99






,[18], 1,1






,[19], 1,2






,[20], 99,99






,[21], 99,99






,[22], 99,99






,[23], 99,99






,[24], 1,1






,[25], 0,0






,[26], 99,99






,[27], 0,0






,[28], 99,99






,[29], 6,6






,[30], 99,99






,[31], 4,6






,[32], 2,5






,[33], 0,0






,[34], 1,1






,[35], 99,99






,[36], 99,99






,[37], 99,99






,[38], 0,0






,[39], 0,0






,[40], 99,99






,[41], 0,0






,[42], 0,0






,[43], 0,0






,[44], 0,0






,[45], 0,0






,[46], 0,0






,[47], 99,99






,[48], 99,99






,[49], 1,1






,[50], 99,99






,[51], 99,99






,[52], 99,99






,[53], 99,99






,[54], 0,0






,[55], 0,0






,[56], 99,99






,[57], 99,99






,[58], 99,99






,[59], 99,99






,[60], 5,5






,[61], 0,0






,[62], 0,0






,[63], 0,0






,[64], 99,99






,[65], 99,99






,[66], 99,99






,[67], 99,99






,[68], 99,99






,[69], 99,99






,[70], 0,0






,[71], 0,0






,[72], 0,1






,[73], 0,0






,[74], 0,0






,[75], 0,0






,[76], 0,0






,[77], 0,0






,[78], 0,0






,[79], 0,0






,[80], 0,0






,[81], 0,0






,[82], 0,0






,[83], 0,0






,[84], 0,0






,[85], 0,0






,[86], 0,1






,[87], 0,0






,[88], 1,1






,[89], 99,99






,[90], 99,99






,[91], 0,0






,[92], 1,1






,[93], 99,99






,[94], 99,99






,[95], 99,99






,[96], 3,4






,[97], 99,99






,[98], 2,2






,[99], 99,99






,[100], 99,99






,[101], 99,99






,[102], 1,1






,[103], 1,1






,[104], 5,6






,[105], 99,99






,[106], 99,99






,[107], 99,99






,[108], 0,0






,[109], 0,0






,[110], 0,0






,[111], 0,0






,[112], 0,0






,[113], 0,0






,[114], 0,0






,[115], 0,0






,[116], 0,0






,[117], 0,0






,[118], 0,0






,[119], 0,0






,[120], 0,0






,[121], 0,0






,[122], 0,0






,[123], 0,0






,[124], 0,0






,[125], 0,0






,[126], 1,1






,[127], 99,99






,[128], 2,5






,[129], 99,99






,[130], 99,99






,[131], 99,99






,[132], 1,2






,[133], 0,0






,[134], 0,0






,[135], 0,0






,[136], 0,0






,[137], 99,99






,[138], 99,99






,[139], 99,99






,[140], 0,0






,[141], 0,0






,[142], 0,0






,[143], 99,99






,[144], 99,99






,[145], 2,2






,[146], 1,1






,[147], 0,0






,[148], 99,99






,[149], 0,0






,[150], 0,0






,[151], 0,0






,[152], 0,0






,[153], 0,0






,[154], 0,0






,[155], 0,0






,[156], 0,0






,[157], 0,0






,[158], 0,0






,[159], 0,0






,[160], 1,3






,[161], 0,0






,[162], 0,0






,[163], 0,0






,[164], 0,0






,[165], 0,0






,[166], 0,1






,[167], 0,0






,[168], 0,0






,[169], 0,0






,[170], 0,0






,[171], 0,0






,[172], 1,1






,[173], 1,1






,[174], 0,0






,[175], 0,0






,[176], 1,1






,[177], 0,0






,[178], 0,0






,[179], 0,0






,[180], 0,0






,[181], 0,0






,[182], 0,0






,[183], 0,0






,[184], 1,1






,[185], 99,99






,[186], 1,1






,[187], 99,99






,[188], 0,0






,[189], 0,0






,[190], 0,0






,[191], 0,0






,[192], 1,3






,[193], 0,0






,[194], 0,0






,[195], 0,0






,[196], 0,0






,[197], 0,0






,[198], 0,0






,[199], 0,0






,[200], 0,0






,[201], 0,0






,[202], 0,0






,[203], 0,0






,[204], 0,0






,[205], 0,0






,[206], 1,1






,[207], 0,0






,[208], 0,0






,[209], 0,0






,[210], 99,99






,[211], 0,0






,[212], 99,99






,[213], 0,0






,[214], 0,0






,[215], 0,0






,[216], 0,0






,[217], 0,0






,[218], 0,0






,[219], 0,0






,[220], 0,0






,[221], 0,0






,[222], 0,0






,[223], 0,0






,[224], 1,3






,[225], 0,0






,[226], 0,0






,[227], 0,0






,[228], 0,0






,[229], 0,0






,[230], 0,0






,[231], 0,0






,[232], 0,0






,[233], 0,0






,[234], 0,0






,[235], 0,0






,[236], 0,0






,[237], 0,0






,[238], 0,1






,[239], 0,0






,[240], 0,0






,[241], 0,0






,[242], 99,99






,[243], 0,0






,[244], 0,0






,[245], 99,99






,[246], 0,0






,[247], 99,99






,[248], 0,0






,[249], 99,99






,[250], 0,0






,[251], 0,0






,[252], 0,0






,[253], 0,0






,[254], 0,0






,[255], 0,0






,[256], 1,3






,[257], 7,8






,[258], 3,5






,[259], 99,99






,[260], 2,11






,[261], 0,0






,[262], 0,0






,[263], 0,0






,[264], 0,0






,[265], 1,1






,[266], 1,1






,[267], 0,0






,[268], 99,99






,[269], 0,0






,[270], 0,0






,[271], 0,0






,[272], 0,0






,[273], 0,0






,[274], 0,0






,[275], 0,0






,[276], 0,0






,[277], 0,0






,[278], 0,0






,[279], 99,99






,[280], 0,0






,[281], 0,0






,[282], 0,0






,[283], 0,0






,[284], 0,0






,[285], 0,0






,[286], 0,0






,[287], 0,0






,[288], 1,3






,[289], 0,0






,[290], 99,99






,[291], 0,1






,[292], 0,0






,[293], 3,7






,[294], 0,0






,[295], 0,0






,[296], 0,0






,[297], 0,0






,[298], 0,0






,[299], 0,0






,[300], 99,99






,[301], 99,99






,[302], 0,0






,[303], 0,0






,[304], 0,0






,[305], 0,0






,[306], 0,0






,[307], 0,0






,[308], 99,99






,[309], 0,0






,[310], 99,99






,[311], 0,0






,[312], 0,0






,[313], 0,0






,[314], 0,0






,[315], 0,0






,[316], 0,0






,[317], 0,0






,[318], 0,0






,[319], 0,0






,[320], 1,3






,[321], 99,99






,[322], 99,99






,[323], 0,0






,[324], 0,0






,[325], 0,0






,[326], 3,7






,[327], 0,0






,[328], 0,0






,[329], 0,0






,[330], 0,0






,[331], 0,0






,[332], 0,0






,[333], 0,0






,[334], 0,0






,[335], 0,0






,[336], 0,0






,[337], 0,0






,[338], 0,0






,[339], 0,0






,[340], 0,0






,[341], 0,0






,[342], 0,0






,[343], 0,0






,[344], 0,0






,[345], 0,0






,[346], 0,0






,[347], 0,0






,[348], 0,0






,[349], 0,0






,[350], 0,0






,[351], 0,0






,[352], 99,99






,[353], 0,0






,[354], 0,0






,[355], 99,99






,[356], 6,7






,[357], 4,9






,[358], 8,11






,[359], 99,99






,[360], 0,0






,[361], 0,0






,[362], 0,0






,[363], 0,0






,[364], 99,99






,[365], 1,1






,[366], 0,0






,[367], 0,0






,[368], 0,0






,[369], 0,0






,[370], 99,99






,[371], 0,0






,[372], 0,0






,[373], 0,0






,[374], 0,0






,[375], 0,0






,[376], 0,0






,[377], 0,0






,[378], 0,0






,[379], 0,0






,[380], 0,0






,[381], 0,0






,[382], 0,0






,[383], 0,0






,[384], 5,7






,[385], 0,0






,[386], 0,0






,[387], 99,99






,[388], 2,9






,[389], 4,9






,[390], 3,14






,[391], 4,12






,[392], 99,99






,[393], 99,99






,[394], 0,0






,[395], 0,0






,[396], 0,0






,[397], 0,0






,[398], 0,0






,[399], 0,0






,[400], 0,0






,[401], 0,0






,[402], 0,0






,[403], 0,0






,[404], 99,99






,[405], 99,99






,[406], 99,99






,[407], 4,9






,[408], 99,99






,[409], 99,99






,[410], 0,0






,[411], 99,99






,[412], 99,99






,[413], 2,2






,[414], 99,99






,[415], 99,99






,[416], 99,99






,[417], 0,0






,[418], 0,0






,[419], 6,11






,[420], 99,99






,[421], 6,7






,[422], 6,6






,[423], 10,11






,[424], 99,99






,[425], 99,99






,[426], 5,10






,[427], 99,99






,[428], 99,99






,[429], 8,11






,[430], 99,99






,[431], 99,99






,[432], 10,11






,[433], 99,99






,[434], 99,99






,[435], 99,99






,[436], 99,99






,[437], 99,99






,[438], 10,12






,[439], 10,11






,[440], 99,99






,[441], 6,6






,[442], 99,99






,[443], 1,1






,[444], 1,1






,[445], 99,99






,[446], 99,99






,[447], 0,1






,[448], 99,99






,[449], 99,99






,[450], 7,11






,[451], 99,99






,[452], 4,7






,[453], 99,99






,[454], 0,0






,[455], 4,5






,[456], 2,12






,[457], 4,13






,[458], 3,5






,[459], 0,0






,[460], 1,1






,[461], 0,0






,[462], 2,6






,[463], 2,8






,[464], 3,9






,[465], 99,99






,[466], 3,7






,[467], 2,7






,[468], 8,9






,[469], 5,9






,[470], 99,99






,[471], 99,99






,[472], 99,99






,[473], 4,5






,[474], 10,10






,[475], 99,99






,[476], 99,99






,[477], 99,99






,[478], 99,99






,[479], 99,99






,[480], 9,10






,[481], 99,99






,[482], 99,99






,[483], 10,12






,[484], 99,99






,[485], 99,99






,[486], 99,99






,[487], 99,99






,[488], 99,99






,[489], 99,99






,[490], 99,99






,[491], 99,99






,[492], 99,99






,[493], 99,99






,[494], 99,99






,[495], 99,99






,[496], 99,99






,[497], 99,99






,[498], 99,99






,[499], 99,99






,[500], 99,99






,[501], 99,99






,[502], 99,99






,[503], 5,5






,[504], 99,99






,[505], 99,99






,[506], 99,99






,[507], 5,7






,[508], 99,99






,[509], 99,99






,[510], 2,2






,[511], 2,2






,[512], 99,99






,[513], 7,11






,[514], 7,7






,[515], 6,10






,[516], 0,0






,[517], 0,0






,[518], 99,99






,[519], 99,99






,[520], 99,99






,[521], 99,99






,[522], 0,0






,[523], 99,99






,[524], 6,8






,[525], 99,99






,[526], 3,4






,[527], 1,2






,[528], 99,99






,[529], 99,99






,[530], 99,99






,[531], 99,99






,[532], 99,99






,[533], 99,99






,[534], 99,99






,[535], 99,99






,[536], 99,99






,[537], 0,0






,[538], 0,0






,[539], 0,0






,[540], 0,0






,[541], 0,0






,[542], 0,0






,[543], 0,0






,[544], 99,99






,[545], 6,7






,[546], 1,1






,[547], 99,99






,[548], 99,99






,[549], 99,99






,[550], 6,12






,[551], 7,11






,[552], 99,99






,[553], 0,0






,[554], 5,9






,[555], 99,99






,[556], 99,99






,[557], 99,99






,[558], 99,99






,[559], 99,99






,[560], 99,99






,[561], 99,99






,[562], 99,99






,[563], 99,99






,[564], 99,99






,[565], 9,10






,[566], 0,0






,[567], 0,0






,[568], 0,0






,[569], 0,0






,[570], 99,99






,[571], 0,0






,[572], 0,0






,[573], 0,0






,[574], 0,0






,[575], 0,0






,[576], 99,99






,[577], 5,6






,[578], 99,99






,[579], 10,10






,[580], 7,8






,[581], 99,99






,[582], 5,10






,[583], 10,10






,[584], 5,6






,[585], 99,99






,[586], 99,99






,[587], 2,3






,[588], 4,6






,[589], 99,99






,[590], 4,5






,[591], 99,99






,[592], 5,9






,[593], 99,99






,[594], 6,6






,[595], 99,99






,[596], 3,3






,[597], 99,99






,[598], 99,99






,[599], 0,0






,[600], 0,0






,[601], 99,99






,[602], 0,0






,[603], 0,0






,[604], 0,0






,[605], 0,0






,[606], 0,0






,[607], 0,0






,[608], 8,11






,[609], 4,10






,[610], 99,99






,[611], 99,99






,[612], 1,2






,[613], 99,99






,[614], 99,99






,[615], 99,99






,[616], 6,9






,[617], 6,9






,[618], 4,9






,[619], 6,8






,[620], 0,0






,[621], 99,99






,[622], 99,99






,[623], 9,10






,[624], 3,5






,[625], 8,9






,[626], 6,6






,[627], 3,6






,[628], 9,9






,[629], 5,7






,[630], 99,99






,[631], 4,6






,[632], 0,0






,[633], 99,99






,[634], 0,0






,[635], 0,0






,[636], 0,0






,[637], 0,0






,[638], 0,0






,[639], 0,0






,[640], 5,11






,[641], 99,99






,[642], 99,99






,[643], 2,2






,[644], 2,3






,[645], 2,10






,[646], 7,7






,[647], 3,6






,[648], 3,6






,[649], 99,99






,[650], 4,9






,[651], 5,7






,[652], 99,99






,[653], 6,7






,[654], 99,99






,[655], 99,99






,[656], 99,99






,[657], 8,9






,[658], 4,10






,[659], 99,99






,[660], 99,99






,[661], 5,8






,[662], 5,7






,[663], 99,99






,[664], 99,99






,[665], 4,4






,[666], 0,0






,[667], 0,0






,[668], 0,0






,[669], 0,0






,[670], 2,3






,[671], 1,2






,[672], 4,5






,[673], 99,99






,[674], 99,99






,[675], 0,1






,[676], 99,99






,[677], 4,9






,[678], 9,9






,[679], 99,99






,[680], 99,99






,[681], 99,99






,[682], 99,99






,[683], 99,99






,[684], 6,9






,[685], 8,9






,[686], 6,7






,[687], 4,6






,[688], 8,10






,[689], 99,99






,[690], 7,10






,[691], 99,99






,[692], 99,99






,[693], 3,9






,[694], 3,3






,[695], 99,99






,[696], 99,99






,[697], 0,0






,[698], 0,0






,[699], 0,0






,[700], 0,0






,[701], 0,0






,[702], 0,0






,[703], 1,1






,[704], 1,3






,[705], 0,0






,[706], 99,99






,[707], 5,6






,[708], 99,99






,[709], 5,8






,[710], 1,1






