

,,[80]
,[16-19-33],,[6],,,,,,0.875000,,,,,,,,0.406250,,,,,,,,,,,,,,,0.703125,,0.187500,,,,0.078125,,0.687500,1.953125,,,,,,,0.156250,,,,,,,,1.062500,,,1.250000,0.515625,,,1.140625,,,,,,1.375000,,,,1.062500,,,,,,,,,,,,,0.718750,,,,1.546875,,,,2.000000,,,,,1.093750,,,,,,,,,,,0.343750,,0.156250,0.953125,,,,,2.750000,0.375000,,,,,1.171875,,,,,,,,,1.031250,,,,,,,,,,,,,,,,,,,,,,1.984375,,,1.359375,,,0.156250,,,,,0.796875,,,,,,,,2.953125,,,,,,,,1.781250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515625,,,,,,,,,,,,,,,,,0.609375,,,0.812500,,0.109375,0.375000,1.140625,,,,1.968750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.640625,,,,,,,,2.468750,,,,,,,,,,,,,,,2.125000,,,,,,0.468750,,,,,,,,,,,,,,,,,,,,,0.093750,,,,,,,,,,,,,,,,,,,0.734375,,,0.703125,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,1.453125,0.843750,,,0.203125,,,,,,,,,,,,0.234375,,,,,1.906250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.750000,1.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.750000,,,,,1.250000,,,,,,,,,,,,,,,,,,,,,,,,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.718750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[9-15-16],,[7],,,,,,0.875000,,,,,,,,0.171875,,,,,,,,,,,,,,,0.703125,,0.187500,,,,0.593750,,0.687500,1.562500,,,,,,,0.156250,,,,,,,,,,,0.281250,0.515625,,,2.203125,,,,,,0.656250,,,,0.781250,,,,,,,,,,,,,0.421875,,,0.265625,0.609375,,,,1.406250,,,,,,,,,,,,,,,,,,1.187500,,,,0.312500,,2.750000,,,,,,0.984375,,,,,,,,,0.921875,,,,,,,,0.562500,,,,,,,,,,,,,,1.984375,,,1.359375,,,0.828125,,,,,,,,,,,,,2.953125,,,,,,,,1.734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.437500,,,,,,,,0.515625,,,,,,,,,,,,,,,,,,,,0.812500,,0.109375,0.375000,1.140625,,,,1.968750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781250,,,,,2.781250,,,2.468750,,,,,,,,,,,,,,,1.796875,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093750,,,,,,,,,,,,,,,,,,,0.781250,,,0.703125,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,1.265625,0.640625,,,0.203125,,,,,,,,,,,,,,,,,1.812500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.500000,1.406250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[16-30-33],,[8],,,,,,0.875000,,,,,,,,0.406250,,,,,,,,,,,,,,,0.703125,,0.187500,,,,0.750000,,0.687500,1.953125,,,,,,,0.156250,,,,,,,,1.062500,,,1.250000,0.515625,,,,,,,,,0.718750,,,,1.062500,,,,,,,,,,,,,0.484375,,,,0.937500,,,,2.000000,,,,,1.093750,,,,,,,,,,,,,,1.218750,,,,,2.750000,,,,,,1.171875,,,,,,,,,0.921875,,,,,,,,0.593750,,,,,,,,,,,,,,1.984375,,,1.437500,,,0.046875,,,,,0.796875,,,,,,,,2.953125,,,,,,,,1.781250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515625,,,,,,,,,,,,,,,,,0.609375,,,0.812500,,0.109375,0.375000,1.140625,,,,1.968750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781250,,,,,,,,2.468750,,,,,,,,,,,,,,,1.781250,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093750,,,,,,,,,,,,,,,,,,,0.734375,,,2.625000,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,1.625000,0.843750,,,0.203125,,,,,,,,,,,,0.234375,,,,,1.906250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781250,1.250000,,,,,,,,,,,,,,,,,,,,,,,0.437500,,,,,,,,,,,,,,,,,,,,,0.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.718750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[3-15-16],,[9],,,,,,0.875000,,,,,,,,,,,,,,0.125000,,,,,,,,,0.703125,,,,,,0.156250,,0.687500,1.562500,,,,,,,0.406250,,,,,,,,,,,0.281250,0.625000,,,0.343750,,,,,,0.718750,,,,0.781250,,,,,,,,,,,,,0.250000,,,,2.281250,,,,2.968750,,,,,,,,,,,,,,,,,,,0.015625,,,,,2.750000,0.046875,,,,,0.984375,,,,,,,,,0.921875,,,,,,,,0.812500,,,,,,,,,,,,,,1.984375,,,1.359375,,,0.437500,,,,,1.609375,,,,,,,,2.953125,,,,,,,,1.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.437500,,,,,,,,0.515625,,,,,,,,,,,,,,,,,,,,0.812500,,0.109375,0.375000,1.140625,,,,1.968750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781250,,,,,4.531250,,,2.468750,,,,,,,,,,,,,,,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093750,,,,,,,,,,,,,,,,,,,0.734375,,,0.703125,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,1.500000,0.640625,,,0.203125,,,,,,,,,,,,,,,,,0.515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.500000,1.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[16-33-99],,[10],,,,,,0.875000,,,,,,,,0.406250,,,,,,,,,,,,,,,0.703125,,0.187500,,,,,,0.687500,1.953125,,,,,,,0.156250,,,,,,,,1.062500,,,1.250000,0.515625,,,,,,,,,0.718750,,,,1.062500,,,,,,,,,,,,,,,,,,,,,2.000000,,,,,1.093750,,,,,,,,,,,,,,,,,,,2.750000,,,,,,1.171875,,,,,,,,,0.921875,,,,,,,,,,,,,,,,,,,,,,1.984375,,,1.359375,,,0.046875,,,,,0.796875,,,,,,,,2.953125,,,,,,,,1.781250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515625,,,,,,,,,,,,,,,,,0.609375,,,0.812500,,0.109375,0.375000,1.140625,,,,1.968750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.640625,,,,,,,,2.468750,,,,,,,,,,,,,,,0.890625,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093750,,,,,,,,,,,,,,,,,,,0.734375,,,0.703125,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781250,0.843750,,,0.203125,,,,,,,,,,,,0.234375,,,,,1.906250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578125,1.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.718750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[33-58-99],,[11],,,,,,,,,,,,,,0.406250,,,,,,0.203125,,,,,,,,,,,0.187500,,,,,,0.687500,1.953125,,,,,,,,,,,,,,,1.062500,,,1.250000,,,,2.312500,,,,,,0.718750,,,,1.062500,,,,,,,,,,,,,,,,,1.453125,,,,2.000000,,,,,2.125000,,,,,,,,,,,0.609375,,,1.453125,,,,,2.890625,,,,,,1.171875,,,,,,,,,1.046875,,,,,,,,0.593750,,,,,,,,,,,,,,0.343750,,,1.437500,,,0.468750,,,,,2.140625,,,,,,,,1.781250,,,,,,,,1.781250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093750,,,,,,,,,,,,,,,,,0.609375,,,,,,0.375000,,,,,1.031250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.171875,,,,,,,,,,,,,,,,,,,,,,,2.390625,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093750,,,,,,,,,,,0.609375,,,,,,,,0.218750,,,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.250000,0.843750,,,,,,,,,,,,,,,0.234375,,,,,1.906250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578125,,,,,,,,,,,,,,,,,,,,,,,,1.328125,,,,,,,,,,,,,,,,,,,,,0.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[16-58-99],,[12],,,,,,0.875000,,,,,,,,,,,,,,0.203125,,,,,,,,,0.703125,,0.187500,,,,,,0.265625,1.562500,,,,,,,0.156250,,,,,,,,,,,,0.515625,,,2.281250,,,,,,0.109375,,,,0.781250,,,,,,,,,,,,,,,,,1.453125,,,,0.203125,,,,,0.578125,,,,,,,,,,,0.609375,,,1.453125,,,,,2.890625,,,,,,0.046875,,,,,,,,,1.046875,,,,,,,,0.593750,,,,,,,,,,,,,,1.984375,,,1.437500,,,0.468750,,,,,,,,,,,,,2.953125,,,,,,,,0.828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515625,,,,,,,,,,,,,,,,,,,,0.812500,,0.109375,0.375000,1.140625,,,,1.968750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.171875,,,,,,,,2.468750,,,,,,,,,,,,,,,2.390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.609375,,,,,,,,0.734375,,,0.703125,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,1.250000,0.640625,,,0.203125,,,,,,,,,,,,,,,,,1.359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.500000,1.250000,,,,,,,,,,,,,,,,,,,,,,,1.328125,,,,,,,,,,,,,,,,,,,,,0.421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[16-55-99],,[13],,,,,,0.875000,,,,,,,,,,,,,,0.859375,0.500000,,,,,,,,0.703125,,0.109375,,,,,,0.687500,1.562500,,,,,,,0.156250,,,,,,,,0.062500,,,,0.515625,,,1.671875,,,,,,0.718750,,,,0.781250,,,,,,,,,,,,,0.796875,,,,0.937500,,,,1.406250,,,0.750000,,0.453125,,,,,,,,,,,,,,0.078125,,,,,2.750000,,,,,,0.625000,,,,,,,,,0.921875,,,,,,,,,,,,,,,,,,,,,,1.984375,,,1.359375,,,0.046875,,,,,,,,,,,,,2.953125,,,,,,,,2.078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515625,,,,,,,,,,,,,,,,,,,,0.812500,,0.109375,0.890625,1.140625,,,,1.968750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781250,,,,,,,,2.468750,,,,,,,,,,,,,,,0.625000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093750,,,,,,,,,,,,,,,,,,,0.734375,,,0.703125,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,1.250000,0.640625,,,0.203125,,,,,,,,,,,,,,,,,1.734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.828125,1.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[16-19-99],,[14],,,,,,0.875000,,,,,,,,,,,,,,,,,,,,,,,0.703125,,,,,,0.078125,,0.687500,1.562500,,,,,,,0.156250,,,,,,,,0.656250,,,,0.515625,,,1.140625,,,,,,1.375000,,,,0.781250,,,,,,,,,,,,,0.718750,,,,1.546875,,,,0.718750,,,,,,,,,,,,,,,,0.343750,,0.156250,0.953125,,,,,2.750000,0.375000,,,,,1.031250,,,,,,,,,1.031250,,,,,,,,,,,,,,,,,,,,,,1.984375,,,1.359375,,,0.156250,,,,,,,,,,,,,2.953125,,,,,,,,1.781250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515625,,,,,,,,,,,,,,,,,,,,0.812500,,0.109375,0.375000,1.140625,,,,1.968750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.640625,,,,,,,,2.468750,,,,,,,,,,,,,,,2.125000,,,,,,0.468750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.734375,,,0.703125,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,1.453125,0.640625,,,0.203125,,,,,,,,,,,,,,,,,1.296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.750000,1.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.484375,,,,,0.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[16-25-99],,[15],,,,,,0.875000,,0.156250,,,,,,0.562500,,,,,,,,,,,,,,,0.703125,,,,,,,,0.687500,1.562500,,,,,,,0.250000,,,,,,,,0.421875,,,0.187500,0.515625,,,,,,,,,0.937500,,,,0.781250,,,,,,,,,,,,,0.890625,,,,0.937500,,,,1.453125,,,,,1.343750,,,,,,,,,,,,,0.703125,0.140625,,,,,2.750000,,,,,,,,,,,,,,,0.921875,,,,,,,,0.562500,0.625000,,,,,,,,,,,,,1.984375,,,1.937500,,,0.046875,,,,,0.421875,,,,,,,,2.953125,,,,,,,,1.781250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515625,,,,,,,,,,,,,,,,,,,,0.812500,,0.109375,0.375000,1.140625,,,,1.968750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.640625,,,,,,,,2.468750,,,,,,,,,,,,,,,1.328125,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093750,,,,,,,,,,,,,0.468750,,,,,,0.734375,,,0.703125,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,1.250000,0.640625,,,0.203125,,,,,,,,,,,,,,,,,0.984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.500000,1.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[15-16-99],,[16],,,,,,0.875000,,,,,,,,,,,,,,,,,,,,,,,0.703125,,,,,,0.156250,,0.687500,1.562500,,,,,,,0.156250,,,,,,,,,,,0.281250,0.515625,,,0.343750,,,,,,0.218750,,,,0.781250,,,,,,,,,,,,,0.218750,,,,0.609375,,,,1.218750,,,,,,,,,,,,,,,,,,,,,,,,2.750000,,,,,,0.984375,,,,,,,,,0.921875,,,,,,,,0.562500,,,,,,,,,,,,,,1.984375,,,1.359375,,,0.046875,,,,,,,,,,,,,2.953125,,,,,,,,1.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.437500,,,,,,,,0.515625,,,,,,,,,,,,,,,,,,,,0.812500,,0.109375,0.375000,1.140625,,,,1.968750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781250,,,,,2.781250,,,2.468750,,,,,,,,,,,,,,,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093750,,,,,,,,,,,,,,,,,,,0.734375,,,0.703125,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,1.265625,0.640625,,,0.203125,,,,,,,,,,,,,,,,,0.515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.500000,1.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
