



,,[80]
,[0], 99,99






,[1], 20,27






,[2], 16,31






,[3], 99,99






,[4], 19,30






,[5], 99,99






,[6], 18,33






,[7], 12,28






,[8], 24,30






,[9], 20,29






,[10], 99,99






,[11], 99,99






,[12], 13,26






,[13], 20,26






,[14], 18,30






,[15], 99,99






,[16], 19,28






,[17], 18,28






,[18], 99,99






,[19], 17,30






,[20], 15,28






,[21], 11,24






,[22], 17,31






,[23], 24,27






,[24], 14,27






,[25], 99,99






,[26], 18,31






,[27], 99,99






,[28], 99,99






,[29], 15,32






,[30], 16,32






,[31], 99,99






,[32], 99,99






,[33], 20,33






,[34], 12,25






,[35], 16,20






,[36], 14,28






,[37], 16,29






,[38], 14,33






,[39], 15,29






,[40], 14,22






,[41], 15,24






,[42], 99,99






,[43], 99,99






,[44], 10,21






,[45], 17,27






,[46], 20,23






,[47], 18,23






,[48], 99,99






,[49], 19,24






,[50], 17,24






,[51], 16,26






,[52], 19,22






,[53], 15,24






,[54], 99,99






,[55], 14,28






,[56], 13,25






,[57], 20,28






,[58], 15,26






,[59], 5,25






,[60], 13,24






,[61], 99,99






,[62], 99,99






,[63], 99,99






,[64], 21,30






,[65], 19,30






,[66], 9,26






,[67], 14,27






,[68], 22,23






,[69], 18,28






,[70], 12,28






,[71], 10,21






,[72], 11,15






,[73], 14,19






,[74], 99,99






,[75], 99,99






,[76], 9,10






,[77], 16,22






,[78], 16,25






,[79], 22,24






,[80], 16,22






,[81], 99,99






,[82], 99,99






,[83], 99,99






,[84], 99,99






,[85], 99,99






,[86], 13,17






,[87], 14,20






,[88], 99,99






,[89], 11,18






,[90], 17,24






,[91], 22,26






,[92], 12,21






,[93], 99,99






,[94], 12,23






,[95], 99,99






,[96], 16,34






,[97], 17,28






,[98], 18,29






,[99], 18,23






,[100], 18,22






,[101], 99,99






,[102], 99,99






,[103], 13,25






,[104], 14,22






,[105], 99,99






,[106], 99,99






,[107], 17,25






,[108], 99,99






,[109], 99,99






,[110], 14,14






,[111], 99,99






,[112], 99,99






,[113], 99,99






,[114], 99,99






,[115], 99,99






,[116], 99,99






,[117], 17,17






,[118], 99,99






,[119], 21,23






,[120], 99,99






,[121], 17,23






,[122], 19,25






,[123], 25,25






,[124], 16,26






,[125], 13,22






,[126], 22,25






,[127], 15,23






,[128], 11,32






,[129], 14,31






,[130], 14,25






,[131], 18,20






,[132], 16,26






,[133], 14,26






,[134], 14,24






,[135], 16,20






,[136], 14,22






,[137], 99,99






,[138], 99,99






,[139], 99,99






,[140], 99,99






,[141], 20,26






,[142], 16,18






,[143], 13,16






,[144], 99,99






,[145], 17,21






,[146], 11,29






,[147], 18,18






,[148], 99,99






,[149], 22,25






,[150], 17,28






,[151], 99,99






,[152], 25,27






,[153], 99,99






,[154], 18,21






,[155], 99,99






,[156], 99,99






,[157], 99,99






,[158], 99,99






,[159], 22,26






,[160], 20,31






,[161], 99,99






,[162], 17,28






,[163], 18,19






,[164], 22,23






,[165], 20,24






,[166], 21,29






,[167], 99,99






,[168], 15,18






,[169], 11,20






,[170], 99,99






,[171], 99,99






,[172], 21,28






,[173], 18,28






,[174], 22,25






,[175], 99,99






,[176], 18,21






,[177], 22,26






,[178], 17,27






,[179], 14,27






,[180], 22,28






,[181], 99,99






,[182], 99,99






,[183], 12,23






,[184], 99,99






,[185], 19,26






,[186], 18,24






,[187], 99,99






,[188], 14,17






,[189], 99,99






,[190], 99,99






,[191], 99,99






,[192], 11,29






,[193], 22,26






,[194], 18,24






,[195], 19,25






,[196], 99,99






,[197], 99,99






,[198], 14,21






,[199], 99,99






,[200], 12,17






,[201], 99,99






,[202], 14,25






,[203], 99,99






,[204], 99,99






,[205], 99,99






,[206], 22,27






,[207], 22,22






,[208], 7,20






,[209], 99,99






,[210], 99,99






,[211], 99,99






,[212], 99,99






