
basis : 46, 48, 59


 [3]  dct:269.718750  a:269.718750  b:269.718750  c:252.875000   (3)    [46]:0.158805, [48]:0.738155, [59]:-0.385211
 [6]  dct:289.171875  a:288.187500  b:289.171875  c:289.921875   (1)    [46]:0.183806, [48]:0.777371, [59]:-0.662397
 [21]  dct:111.468750  a:111.468750  b:112.109375  c:114.078125   (0)    [46]:-0.217021, [48]:1.276011, [59]:-0.630556
 [22]  dct:193.515625  a:192.484375  b:193.515625  c:153.656250   (3)    [46]:-0.883298, [48]:0.372027, [59]:-1.020881
 [23]  dct:241.359375  a:240.203125  b:241.359375  c:199.984375   (3)    [46]:-0.458468, [48]:0.859713, [59]:-0.504377
 [26]  dct:122.437500  a:120.625000  b:122.437500  c:119.359375   (3)    [46]:-0.534968, [48]:0.368360, [59]:0.278928
 [28]  dct:239.593750  a:235.859375  b:239.593750  c:205.375000   (3)    [46]:0.432342, [48]:0.184948, [59]:1.296425
 [29]  dct:354.843750  a:361.968750  b:326.187500  c:363.250000   (2)    [46]:0.598001, [48]:-0.670508, [59]:1.489035
 [30]  dct:151.500000  a:150.046875  b:151.500000  c:172.343750   (1)    [46]:0.184502, [48]:0.320593, [59]:1.661467
 [31]  dct:325.937500  a:321.609375  b:325.046875  c:324.515625   (1)    [46]:0.928041, [48]:1.298669, [59]:0.909236
 [37]  dct:102.203125  a:102.203125  b:92.781250  c:104.484375   (2)    [46]:-0.152952, [48]:-0.856524, [59]:-0.325888
 [52]  dct:30.218750  a:29.593750  b:30.218750  c:23.593750   (3)    [46]:-0.447038, [48]:-0.062502, [59]:-0.330110
 [56]  dct:115.421875  a:111.218750  b:115.421875  c:108.921875   (3)    [46]:0.266679, [48]:0.475334, [59]:-0.508340
 [57]  dct:157.062500  a:157.062500  b:157.062500  c:134.078125   (3)    [46]:-0.300270, [48]:1.069296, [59]:-1.411339
 [58]  dct:101.734375  a:99.781250  b:101.734375  c:74.093750   (3)    [46]:0.219591, [48]:0.581251, [59]:-2.081427
 [59]  dct:193.937500  a:193.437500  b:193.937500  c:104.890625   (3)    [46]:-0.326915, [48]:0.344591, [59]:-1.381631
 [64]  dct:288.609375  a:282.125000  b:293.859375  c:249.375000   (3)    [46]:-2.096669, [48]:-1.061654, [59]:-1.232799
 [67]  dct:191.843750  a:175.437500  b:162.593750  c:168.281250   (2)    [46]:0.559658, [48]:-0.543074, [59]:0.872531
 [93]  dct:160.078125  a:160.078125  b:160.078125  c:152.171875   (3)    [46]:-0.212982, [48]:0.324752, [59]:-0.342506
 [94]  dct:193.828125  a:189.343750  b:193.828125  c:149.468750   (3)    [46]:-0.640553, [48]:1.004979, [59]:-1.039510
 [96]  dct:298.421875  a:289.375000  b:298.421875  c:298.421875   (1)    [46]:-1.643619, [48]:0.732077, [59]:0.083944
 [97]  dct:209.078125  a:209.078125  b:201.843750  c:176.828125   (3)    [46]:-0.250725, [48]:-0.270748, [59]:0.938019
 [99]  dct:226.140625  a:213.015625  b:207.656250  c:226.140625   (2)    [46]:0.533973, [48]:-0.353406, [59]:-0.048416
