



,,[60]
,[0], 10,12






,[1], 2,8






,[2], 1,6






,[3], 1,6






,[4], 1,8






,[5], 1,6






,[6], 1,6






,[7], 1,7






,[8], 1,5






,[9], 1,6






,[10], 1,5






,[11], 1,5






,[12], 1,5






,[13], 1,5






,[14], 2,5






,[15], 6,7






,[16], 99,99






,[17], 99,99






,[18], 3,6






,[19], 2,4






,[20], 7,8






,[21], 99,99






,[22], 99,99






,[23], 99,99






,[24], 99,99






,[25], 5,6






,[26], 99,99






,[27], 5,7






,[28], 99,99






,[29], 99,99






,[30], 99,99






,[31], 99,99






,[32], 99,99






,[33], 3,5






,[34], 7,8






,[35], 99,99






,[36], 99,99






,[37], 7,7






,[38], 99,99






,[39], 0,0






,[40], 2,2






,[41], 0,1






,[42], 1,2






,[43], 1,1






,[44], 0,1






,[45], 99,99






,[46], 99,99






,[47], 99,99






,[48], 99,99






,[49], 99,99






,[50], 99,99






,[51], 99,99






,[52], 99,99






,[53], 99,99






,[54], 99,99






,[55], 99,99






,[56], 99,99






,[57], 99,99






,[58], 99,99






,[59], 99,99






,[60], 99,99






,[61], 99,99






,[62], 99,99






,[63], 1,1






,[64], 99,99






,[65], 99,99






,[66], 99,99






,[67], 99,99






,[68], 99,99






,[69], 99,99






,[70], 99,99






,[71], 99,99






,[72], 99,99






,[73], 0,1






,[74], 99,99






,[75], 1,1






,[76], 99,99






,[77], 1,2






,[78], 99,99






,[79], 99,99






,[80], 1,1






,[81], 0,1






,[82], 0,0






,[83], 1,2






,[84], 99,99






,[85], 99,99






,[86], 99,99






,[87], 99,99






,[88], 99,99






,[89], 99,99






,[90], 99,99






,[91], 2,2






,[92], 2,3






,[93], 99,99






,[94], 99,99






,[95], 99,99






,[96], 99,99






,[97], 99,99






,[98], 99,99






,[99], 99,99






,[100], 99,99






,[101], 99,99






,[102], 99,99






,[103], 99,99






,[104], 99,99






,[105], 99,99






,[106], 99,99






,[107], 99,99






,[108], 0,0






,[109], 0,0






,[110], 0,1






,[111], 2,2






,[112], 99,99






,[113], 0,0






,[114], 0,1






,[115], 99,99






,[116], 1,1






,[117], 99,99






,[118], 99,99






,[119], 99,99






,[120], 1,1






,[121], 0,0






,[122], 0,0






,[123], 0,1






,[124], 99,99






,[125], 99,99






,[126], 99,99






,[127], 99,99






,[128], 99,99






,[129], 99,99






,[130], 99,99






,[131], 99,99






,[132], 99,99






,[133], 0,0






,[134], 0,0






,[135], 0,0






,[136], 99,99






,[137], 99,99






,[138], 99,99






,[139], 99,99






,[140], 0,0






,[141], 0,1






,[142], 99,99






,[143], 99,99






,[144], 99,99






,[145], 99,99






,[146], 99,99






,[147], 99,99






,[148], 99,99






,[149], 0,0






,[150], 99,99






,[151], 0,1






,[152], 1,1






,[153], 0,1






,[154], 99,99






,[155], 99,99






,[156], 1,1






,[157], 99,99






,[158], 99,99






,[159], 1,1






,[160], 99,99






,[161], 99,99






,[162], 99,99






,[163], 99,99






,[164], 99,99






,[165], 99,99






,[166], 99,99






,[167], 99,99






,[168], 99,99






,[169], 0,0






,[170], 99,99






,[171], 2,2






,[172], 99,99






,[173], 99,99






,[174], 99,99






,[175], 3,3






,[176], 99,99






,[177], 99,99






,[178], 2,4






,[179], 99,99






,[180], 3,4






,[181], 99,99






,[182], 99,99






,[183], 2,3






,[184], 99,99






,[185], 99,99






,[186], 99,99






,[187], 99,99






,[188], 99,99






,[189], 1,1






,[190], 0,1






,[191], 99,99






,[192], 99,99






,[193], 1,1






,[194], 99,99






,[195], 0,1






,[196], 1,1

