



,,[30]
,[0], 99,99






,[1], 4,6






,[2], 4,5






,[3], 3,5






,[4], 4,5






,[5], 99,99






,[6], 99,99






,[7], 5,5






,[8], 5,5






,[9], 5,5






,[10], 4,5






,[11], 99,99






,[12], 99,99






,[13], 5,5






,[14], 5,5






,[15], 3,4






,[16], 99,99






,[17], 99,99






,[18], 99,99






,[19], 2,2






,[20], 99,99






,[21], 99,99






,[22], 99,99






,[23], 99,99






,[24], 99,99






,[25], 1,2






,[26], 99,99






,[27], 2,3






,[28], 99,99






,[29], 99,99






,[30], 99,99






,[31], 99,99






,[32], 4,6






,[33], 1,1






,[34], 2,2






,[35], 99,99






,[36], 99,99






,[37], 99,99






,[38], 1,1






,[39], 0,0






,[40], 99,99






,[41], 0,0






,[42], 0,0






,[43], 0,0






,[44], 0,0






,[45], 0,0






,[46], 99,99






,[47], 99,99






,[48], 99,99






,[49], 99,99






,[50], 99,99






,[51], 99,99






,[52], 99,99






,[53], 1,1






,[54], 0,1






,[55], 1,1






,[56], 99,99






,[57], 99,99






,[58], 99,99






,[59], 99,99






,[60], 99,99






,[61], 99,99






,[62], 1,1






,[63], 0,0






,[64], 99,99






,[65], 99,99






,[66], 99,99






,[67], 99,99






,[68], 99,99






,[69], 99,99






,[70], 1,1






,[71], 1,2






,[72], 1,1






,[73], 99,99






,[74], 0,0






,[75], 99,99






,[76], 99,99






,[77], 99,99






,[78], 99,99






,[79], 0,0






,[80], 0,0






,[81], 0,0






,[82], 0,0






,[83], 0,0






,[84], 0,1






,[85], 1,1






,[86], 1,1






,[87], 99,99






,[88], 99,99






,[89], 99,99






,[90], 1,1






,[91], 0,0






,[92], 99,99






,[93], 99,99






,[94], 99,99






,[95], 99,99






,[96], 99,99






,[97], 99,99






,[98], 99,99






,[99], 99,99






,[100], 99,99






,[101], 99,99






,[102], 99,99






,[103], 99,99






,[104], 99,99






,[105], 99,99






,[106], 99,99






,[107], 99,99






,[108], 0,0






,[109], 99,99






,[110], 0,0






,[111], 0,0






,[112], 0,0






,[113], 0,0






,[114], 99,99






,[115], 0,0






,[116], 0,0






,[117], 1,1






,[118], 0,0






,[119], 0,1






,[120], 0,0






,[121], 0,0






,[122], 0,0






,[123], 99,99






,[124], 0,0






,[125], 99,99






,[126], 99,99






,[127], 99,99






,[128], 99,99






,[129], 99,99






,[130], 99,99






,[131], 99,99






,[132], 3,4






,[133], 0,0






,[134], 0,0






,[135], 0,0






,[136], 99,99






,[137], 99,99






,[138], 99,99






,[139], 99,99






,[140], 0,0






,[141], 0,0






,[142], 1,1






,[143], 99,99






,[144], 99,99






,[145], 99,99






,[146], 99,99






,[147], 99,99






,[148], 99,99






,[149], 0,0






,[150], 0,0






,[151], 0,0






,[152], 99,99






,[153], 0,0






,[154], 0,0






,[155], 0,0






,[156], 0,0






,[157], 0,0






,[158], 0,0






,[159], 0,0






,[160], 99,99






,[161], 0,0






,[162], 0,0






,[163], 0,0






,[164], 0,0






,[165], 0,0






,[166], 99,99






,[167], 99,99






,[168], 99,99






,[169], 0,0






,[170], 0,0






,[171], 0,0






,[172], 99,99






,[173], 99,99






,[174], 0,0






,[175], 0,1






,[176], 1,1






,[177], 0,0






,[178], 0,0






,[179], 1,1






,[180], 1,1






,[181], 99,99






,[182], 0,0






,[183], 0,0






,[184], 99,99






,[185], 99,99






,[186], 99,99






,[187], 99,99






,[188], 99,99






,[189], 0,0






,[190], 0,0






,[191], 0,0






,[192], 99,99






,[193], 0,0






,[194], 0,0






,[195], 0,0






,[196], 0,0






,[197], 0,0






,[198], 0,0






,[199], 0,0






,[200], 99,99






,[201], 0,0






,[202], 99,99






,[203], 1,2






,[204], 99,99






,[205], 99,99






,[206], 99,99






,[207], 99,99






,[208], 0,0






,[209], 1,1






,[210], 99,99






,[211], 0,1






,[212], 1,1






