



,,[50]
,[0], 5,15






,[1], 10,18






,[2], 7,18






,[3], 2,17






,[4], 9,15






,[5], 5,18






,[6], 3,15






,[7], 6,15






,[8], 3,12






,[9], 10,15






,[10], 8,17






,[11], 7,14






,[12], 11,20






,[13], 14,15






,[14], 4,15






,[15], 5,17






,[16], 10,16






,[17], 11,17






,[18], 7,18






,[19], 5,16






,[20], 4,12






,[21], 2,12






,[22], 6,14






,[23], 7,15






,[24], 7,13






,[25], 99,99






,[26], 9,15






,[27], 8,13






,[28], 6,18






,[29], 4,13






,[30], 7,14






,[31], 5,17






,[32], 2,16






,[33], 7,17






,[34], 8,12






,[35], 4,9






,[36], 6,14






,[37], 6,18






,[38], 6,13






,[39], 14,18






,[40], 99,99






,[41], 9,12






,[42], 7,14






,[43], 9,15






,[44], 9,12






,[45], 9,14






,[46], 8,11






,[47], 13,14






,[48], 99,99






,[49], 99,99






,[50], 11,16






,[51], 12,18






,[52], 14,14






,[53], 99,99






,[54], 8,15






,[55], 8,9






,[56], 9,14






,[57], 9,18






,[58], 7,15






,[59], 11,19






,[60], 11,19






,[61], 7,13






,[62], 99,99






,[63], 6,13






,[64], 4,14






,[65], 10,20






,[66], 7,15






,[67], 5,14






,[68], 9,16






,[69], 12,15






,[70], 6,16






,[71], 7,11






,[72], 6,8






,[73], 7,8






,[74], 99,99






,[75], 99,99






,[76], 99,99






,[77], 9,13






,[78], 15,17






,[79], 12,12






,[80], 12,17






,[81], 99,99






,[82], 99,99






,[83], 99,99






,[84], 99,99






,[85], 99,99






,[86], 8,10






,[87], 2,5






,[88], 4,8






,[89], 99,99






,[90], 99,99






,[91], 7,13






,[92], 99,99






,[93], 11,17






,[94], 5,13






,[95], 9,13






,[96], 5,17






,[97], 10,15






,[98], 8,15






,[99], 8,16






,[100], 6,13






,[101], 12,12






,[102], 6,14






,[103], 5,10






,[104], 4,11






,[105], 8,16






,[106], 99,99






,[107], 10,16






,[108], 10,17






,[109], 10,13






,[110], 99,99






,[111], 99,99






,[112], 12,13






,[113], 99,99






,[114], 99,99






,[115], 99,99






,[116], 12,21






,[117], 99,99






,[118], 12,16






,[119], 99,99






,[120], 99,99






,[121], 6,11






,[122], 11,13






,[123], 8,15






,[124], 5,13






,[125], 99,99






,[126], 7,17






,[127], 13,18






,[128], 2,13






,[129], 4,19






,[130], 7,14






,[131], 99,99






,[132], 11,16






,[133], 6,9






,[134], 7,15






,[135], 6,9






,[136], 9,11






,[137], 99,99






,[138], 99,99






,[139], 99,99






,[140], 99,99






,[141], 5,14






,[142], 99,99






,[143], 12,12






,[144], 6,11






,[145], 9,13






,[146], 5,21






,[147], 99,99






,[148], 99,99






,[149], 12,20






,[150], 6,17



